"","Treatment","Parameter","Estimate","Std..Error","lb","ub"
"1","X48_Daidzein","bot",41.937720771248,2.86321434537176,35.9651603051152,47.9102812373807
"2","X48_Daidzein","top",95.2797154926332,1.0351818843669,93.1203639205721,97.4390670646944
"3","X48_Daidzein","lic50",4.30879392847107,0.035615845235127,4.23450057716712,4.38308727977502
"4","X48_Daidzein","scale",-2.74657465643465,0.561181401599685,-3.91717854745702,-1.57597076541229
"5","X48_Daidzein","Log10IC60",4.24468088546926,0.0379484930309565,4.16552171612786,4.32384005481066
"6","X48_Daidzein","Log10IC70",4.1748173098372,0.0449202996124203,4.08111520680546,4.26851941286894
"7","X48_Daidzein","IC60",17566.3238659437,NA,14639.3473718921,21078.5171172108
"8","X48_Daidzein","IC70",14956.0638249805,NA,12053.5564684358,18557.4975919051
"9","X72_Daidzein","bot",47.4343807093953,2.75781748627738,41.6991852837007,53.1695761350898
"10","X72_Daidzein","top",98.8254203858992,1.13257007996656,96.4701119674764,101.180728804322
"11","X72_Daidzein","lic50",4.28261029535982,0.0312380288421169,4.21764725809775,4.34757333262189
"12","X72_Daidzein","scale",-3.88316723182761,0.970473520222662,-5.90137740042427,-1.86495706323095
"13","X72_Daidzein","Log10IC60",4.23726296712415,0.0332303166437949,4.16815674056703,4.30636919368127
"14","X72_Daidzein","Log10IC70",4.18784827164924,0.0392005938283237,4.10632617400231,4.26937036929617
"15","X72_Daidzein","IC60",17268.8321048824,NA,14728.4396841888,20247.3967820743
"16","X72_Daidzein","IC70",15411.6192708832,NA,12773.9782983651,18593.894791653
