RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
CSPP1,CSPP1,CSPP1,CSPP1,CSPP1,,-0.544055266,-0.096324887,-0.066389757,-0.651660339,-0.43681653
CSRNP1,CSRNP1,CSRNP1,CSRNP1,CSRNP1,,0.40029515,-0.349401881,-0.640077444,1.300567069,1.198650702
CSRNP2,CSRNP2,CSRNP2,CSRNP2,CSRNP2,,0.161069156,0.019895888,0.082113108,0.132361263,0.267914255
CSRP1,CSRP1,CSRP1,CSRP1,CSRP1,,0.125363157,0.062619873,0.0227151,0.39750246,0.270910365
CSRP2BP,CSRP2BP,CSRP2BP,CSRP2BP,CSRP2BP,,-0.013715882,0.151289046,0.192283847,-0.384980904,-0.272890135
CST3,CST3,CST3,CST3,CST3,,0.054003288,0.177384454,-0.048166754,0.735528395,0.176454605
CST7,CST7,CST7,CST7,CST7,,-0.9465583,0.268798905,-0.054882498,-0.876521069,-0.836031362
CSTA,CSTA,CSTA,CSTA,CSTA,,-0.629757055,0.057492475,0.207765971,-0.901550887,-0.70056611
CSTB,CSTB,CSTB,CSTB,CSTB,,0.187118323,0.185443735,-0.063708889,0.394386072,0.23506268
CSTF1,CSTF1,CSTF1,CSTF1,CSTF1,,-0.122044197,-0.052232325,-0.023681995,-0.099728354,-0.118090905
CSTF2,CSTF2,CSTF2,CSTF2,CSTF2,,-0.130731098,0.069652863,-0.027323058,-0.099861212,-0.001599627
CSTF2T,CSTF2T,CSTF2T,CSTF2T,CSTF2T,,-0.223775102,-0.0070376,0.063895628,-0.243799894,-0.328842357
CSTF3,CSTF3,CSTF3,CSTF3,CSTF3,,-0.129065617,0.011761523,-0.073257923,0.006714108,-0.021124928
CSTF3-AS1,CSTF3-AS1,CSTF3-AS1,CSTF3-AS1,CSTF3-AS1,,1.082857378,0.871791791,0.47631149,-0.355990441,-0.520438866
CTAGE5,CTAGE5,CTAGE5,CTAGE5,CTAGE5,,-0.442189427,-0.027767711,0.051475146,-0.277180375,-0.349511088
CTAGE7P,CTAGE7P,CTAGE7P,CTAGE7P,CTAGE7P,,0.588868537,1.007853341,1.524333005,-1.104451674,-0.35636294
CTBP1,CTBP1,CTBP1,CTBP1,CTBP1,,-0.084131861,0.147457456,-0.042202336,0.071103489,0.046744042
CTBP1-AS,CTBP1-AS,CTBP1-AS,CTBP1-AS,CTBP1-AS,,-0.152619616,0.18147629,0.5530729,-0.572514882,-0.800987235
CTBP1-AS2,CTBP1-AS2,CTBP1-AS2,CTBP1-AS2,CTBP1-AS2,,-0.056748111,0.15710636,0.028263799,0.052581015,0.087851242
CTBP2,CTBP2,CTBP2,CTBP2,CTBP2,,0.112872886,0.03920913,0.050572791,-0.012293654,0.076154312
CTBS,CTBS,CTBS,CTBS,CTBS,,0.483862923,0.019803873,0.122309303,0.764607687,0.45839743
CTC1,CTC1,CTC1,CTC1,CTC1,,0.00762775,0.217504289,0.294626775,-0.533584003,-0.269961294
CTC-338M12.4,CTC-338M12.4,CTC-338M12.4,CTC-338M12.4,CTC-338M12.4,,-0.193084512,0.083295896,-0.130069995,-0.190181548,0.289711075
CTCF,CTCF,CTCF,CTCF,CTCF,,0.052834488,0.016326605,0.089728551,-0.097894793,-0.01052605
CTDNEP1,CTDNEP1,CTDNEP1,CTDNEP1,CTDNEP1,,-0.012792036,0.103971388,-0.085221717,0.212232733,0.082517554
CTDP1,CTDP1,CTDP1,CTDP1,CTDP1,,-0.423752956,0.079190191,-0.011221677,-0.345216616,-0.241001801
CTDSP1,CTDSP1,CTDSP1,CTDSP1,CTDSP1,,-0.105995224,0.172759809,0.052643119,0.111197645,-0.001194742
CTDSP2,CTDSP2,CTDSP2,CTDSP2,CTDSP2,,0.50218436,0.013921598,0.173492218,0.341382529,0.33483847
CTDSPL2,CTDSPL2,CTDSPL2,CTDSPL2,CTDSPL2,,-0.063080033,-0.121652621,0.074690334,-0.350812204,-0.25302319
CTGLF12P,CTGLF12P,CTGLF12P,CTGLF12P,CTGLF12P,,-0.075432923,0.025962721,0.321493381,-0.238203063,-1.076520247
CTH,CTH,CTH,CTH,CTH,,-0.863893389,0.211904201,0.375851308,-1.795902609,-1.043898825
CTIF,CTIF,CTIF,CTIF,CTIF,,-0.428931612,-0.003477313,0.13850903,-0.788695158,-0.579902026
CTNNA1,CTNNA1,CTNNA1,CTNNA1,CTNNA1,,0.330841299,-0.136373915,0.145489606,0.253125198,0.148684082
CTNNAL1,CTNNAL1,CTNNAL1,CTNNAL1,CTNNAL1,,-0.491630839,-0.088327657,0.064755428,-0.912459026,-0.673144318
CTNNB1,CTNNB1,CTNNB1,CTNNB1,CTNNB1,,0.401022588,-0.012184412,0.082528828,0.377092352,0.283473772
CTNNBIP1,CTNNBIP1,CTNNBIP1,CTNNBIP1,CTNNBIP1,,-0.563426571,0.22821713,-0.022654333,-0.040149118,-0.537172882
CTNNBL1,CTNNBL1,CTNNBL1,CTNNBL1,CTNNBL1,,-0.188366326,0.119672837,-0.035106451,-0.03176722,-0.104747436
CTNS,CTNS,CTNS,CTNS,CTNS,,-0.363109948,0.340219768,0.183789232,-0.184711246,-0.234055959
CTPS1,CTPS1,CTPS1,CTPS1,CTPS1,,-0.188324015,-0.031032635,0.038969341,-0.488113557,-0.249755686
CTR9,CTR9,CTR9,CTR9,CTR9,,0.094229776,0.025858891,0.081393406,0.063741616,0.041820297
CTRL,CTRL,CTRL,CTRL,CTRL,,-0.510002453,-0.012015191,-0.24399676,-0.048308596,0.050601259
CTSA,CTSA,CTSA,CTSA,CTSA,,0.194395154,0.303649774,0.023130207,0.678457765,0.269224958
CTSB,CTSB,CTSB,CTSB,CTSB,,0.266445096,0.113371232,0.052511029,0.668262272,0.303552536
CTSC,CTSC,CTSC,CTSC,CTSC,,-0.027518095,0.010239441,-0.10666175,0.146237764,-0.013326103
CTSD,CTSD,CTSD,CTSD,CTSD,,1.459814209,0.365927659,0.01219973,2.436590545,1.613180323
CTSG,CTSG,CTSG,CTSG,CTSG,,-0.900889141,0.096041529,0.23183082,-1.193126355,-1.102518431
CTSH,CTSH,CTSH,CTSH,CTSH,,0.382417659,0.064436869,0.610062879,0.487174557,-0.964045517
CTSK,CTSK,CTSK,CTSK,CTSK,,0.010448882,-0.102213,0.095489706,0.358948847,-0.379083017
CTSS,CTSS,CTSS,CTSS,CTSS,,0.471486334,0.088649927,-0.028010959,0.92551034,0.503288313
CTSW,CTSW,CTSW,CTSW,CTSW,,-1.075810209,-0.087833861,-0.148404187,-1.161827674,-1.376708209
CTSZ,CTSZ,CTSZ,CTSZ,CTSZ,,-0.03261984,0.064436869,0.291886919,0.74597197,0.746447865
CTTN,CTTN,CTTN,CTTN,CTTN,,-1.058154932,0.073897198,0.092322427,-1.569674931,-0.842483538
CTU1,CTU1,CTU1,CTU1,CTU1,,-0.684767582,-0.099718461,-0.526496066,-0.193739368,0.124992196
CTU2,CTU2,CTU2,CTU2,CTU2,,-0.226412348,0.161589617,-0.108152757,-0.119810294,-0.117820964
CUEDC1,CUEDC1,CUEDC1,CUEDC1,CUEDC1,,0.704345754,0.26607073,0.417417801,0.796012652,0.555328642
CUEDC2,CUEDC2,CUEDC2,CUEDC2,CUEDC2,,-0.176013016,0.144164062,-0.004111026,-0.049871368,-0.132588666
CUL1,CUL1,CUL1,CUL1,CUL1,,-0.14312458,0.013222877,0.06582291,-0.320034133,-0.251878998
CUL2,CUL2,CUL2,CUL2,CUL2,,0.181451558,-0.130533262,0.08976722,-0.084106205,-0.042426016
CUL3,CUL3,CUL3,CUL3,CUL3,,-0.068845394,-0.058833614,0.049165083,-0.123870014,-0.105624939
CUL4A,CUL4A,CUL4A,CUL4A,CUL4A,,-0.300082175,-0.042834758,0.014638439,-0.369914781,-0.312732657
CUL4B,CUL4B,CUL4B,CUL4B,CUL4B,,0.015657668,-0.205490015,0.031188936,-0.086747417,-0.137117478
CUL5,CUL5,CUL5,CUL5,CUL5,,0.110345911,-0.061582495,0.109813629,-0.15900438,-0.107699811
CUL7,CUL7,CUL7,CUL7,CUL7,,0.374961854,0.015270812,0.263209594,0.488153047,0.410428809
CUL9,CUL9,CUL9,CUL9,CUL9,,0.53788915,0.188388446,0.336254948,0.30556775,0.347754179
CUTA,CUTA,CUTA,CUTA,CUTA,,-0.490231664,0.136059797,-0.194732291,-0.087037038,-0.217891738
CUTC,CUTC,CUTC,CUTC,CUTC,,-0.409135407,-0.023054345,-0.022960248,-0.605264679,-0.383882178
CUX1,CUX1,CUX1,CUX1,CUX1,,0.415670422,0.050002201,0.20394295,0.217008886,0.2231111
CWC15,CWC15,CWC15,CWC15,CWC15,,-0.059060749,0.059038862,0.001816749,0.001171224,-0.067128572
CWC22,CWC22,CWC22,CWC22,CWC22,,-0.099636593,0.013514772,0.035156441,-0.109528299,-0.131871617
CWC25,CWC25,CWC25,CWC25,CWC25,,-0.066412764,0.069777493,-0.010976573,-0.098717325,-0.110918077
CWC27,CWC27,CWC27,CWC27,CWC27,,-0.082846128,0.11764017,0.033093169,-0.092654706,-0.110744579
CWF19L1,CWF19L1,CWF19L1,CWF19L1,CWF19L1,,-0.201255981,0.140499075,-0.074803753,-0.12983563,-0.00931438
CWF19L2,CWF19L2,CWF19L2,CWF19L2,CWF19L2,,-0.192457162,-0.084014839,-0.009350472,-0.070613234,-0.106003978
CX3CR1,CX3CR1,CX3CR1,CX3CR1,CX3CR1,,-1.295654246,-1.35060063,-0.845616605,-4.203987348,-0.701011112
CXADR,CXADR,CXADR,CXADR,CXADR,,-1.269659037,-0.394994749,-0.539513477,-0.162167172,-1.244153437
CXCL8,CXCL8,CXCL8,CXCL8,CXCL8,,0.157875101,0.041556644,-0.403263353,1.399988451,0.47203925
CXCR2,CXCR2,CXCR2,CXCR2,CXCR2,,0.721815534,0.244901415,0.074589625,1.10394144,0.70509807
CXCR4,CXCR4,CXCR4,CXCR4,CXCR4,,1.698804796,0.153030792,-0.02349833,2.14981812,1.875889757
CXorf21,CXorf21,CXorf21,CXorf21,CXorf21,,0.519921183,0.298324929,0.026542352,1.266408441,0.597182335
CXorf23,CXorf23,CXorf23,CXorf23,CXorf23,,0.543698566,0.236084492,0.432847841,0.34252405,0.100974274
CXorf38,CXorf38,CXorf38,CXorf38,CXorf38,,0.251817714,-0.131291888,0.044711396,0.250201183,0.267408275
CXorf40A,CXorf40A,CXorf40A,CXorf40A,CXorf40A,,-0.042080169,-0.398535107,0.7599428,-1.12442009,-0.455433903
CXorf40B,CXorf40B,CXorf40B,CXorf40B,CXorf40B,,-0.114028169,0.064436869,0.037785638,-0.153863868,-0.27388054
CXorf56,CXorf56,CXorf56,CXorf56,CXorf56,,-0.285719633,0.041901636,-0.07071341,-0.309931164,-0.235993568
CXorf65,CXorf65,CXorf65,CXorf65,CXorf65,,-0.263945386,0.479474368,-0.108651011,-0.355990441,-0.411504494
CXXC1,CXXC1,CXXC1,CXXC1,CXXC1,,-0.189906863,0.071361977,0.027849667,-0.101654104,-0.106667909
CXXC5,CXXC5,CXXC5,CXXC5,CXXC5,,0.42786063,0.017515822,0.080296032,0.613645758,0.620454062
CYB561,CYB561,CYB561,CYB561,CYB561,,-1.343407377,-0.554472964,-0.786454533,0.217476421,-0.379083017
CYB561A3,CYB561A3,CYB561A3,CYB561A3,CYB561A3,,0.039418627,0.13904584,0.088287866,0.133569568,0.087678492
CYB561D1,CYB561D1,CYB561D1,CYB561D1,CYB561D1,,0.788923525,-0.031700228,0.072241442,1.1558587,0.730025984
CYB561D2,CYB561D2,CYB561D2,CYB561D2,CYB561D2,,0.065853857,0.264823982,-0.086277318,0.604012498,0.327307159
CYB5B,CYB5B,CYB5B,CYB5B,CYB5B,,-0.218508333,-0.087403658,-0.075990762,-0.245217971,-0.1872621
CYB5D1,CYB5D1,CYB5D1,CYB5D1,CYB5D1,,-0.56330249,-0.100622377,-0.050882174,-0.892972913,-0.476827635
CYB5D2,CYB5D2,CYB5D2,CYB5D2,CYB5D2,,0.123330438,0.334043929,0.029211794,0.291055436,-0.022699735
CYB5R1,CYB5R1,CYB5R1,CYB5R1,CYB5R1,,0.218629491,0.154196116,-0.084600275,0.51025817,0.311232484
CYB5R3,CYB5R3,CYB5R3,CYB5R3,CYB5R3,,-0.095093227,0.121170185,-0.136900614,0.312944208,0.16674109
CYB5R4,CYB5R4,CYB5R4,CYB5R4,CYB5R4,,0.316075165,-0.0427901,0.12600875,0.41877481,0.291807164
CYB5RL,CYB5RL,CYB5RL,CYB5RL,CYB5RL,,-0.39202264,-0.157031044,0.043707164,-0.360791427,-0.115516153
CYBA,CYBA,CYBA,CYBA,CYBA,,0.512146321,0.330473342,-0.067752426,1.0881422,0.7070855
CYBB,CYBB,CYBB,CYBB,CYBB,,4.732727556,0.594216455,0.610858848,5.479833727,4.12603624
CYBRD1,CYBRD1,CYBRD1,CYBRD1,CYBRD1,,-0.306763418,0.026145085,0.159502684,-0.514596452,-0.504516099
CYC1,CYC1,CYC1,CYC1,CYC1,,-0.237596857,-0.07394039,-0.136952056,-0.196364206,-0.05235997
CYCS,CYCS,CYCS,CYCS,CYCS,,-0.22127287,-0.131032333,-0.144498222,-0.263298854,-0.229545062
CYFIP1,CYFIP1,CYFIP1,CYFIP1,CYFIP1,,0.194541826,-0.038258584,0.038030103,0.252805596,0.179283668
CYFIP2,CYFIP2,CYFIP2,CYFIP2,CYFIP2,,0.676959866,-0.117677541,0.122970442,0.326440121,0.554026808
CYHR1,CYHR1,CYHR1,CYHR1,CYHR1,,-0.0960939,0.110274405,-0.000993298,0.309258321,-0.028175855
CYLD,CYLD,CYLD,CYLD,CYLD,,0.684124557,-0.064139672,0.141481823,0.837572051,0.523257512
CYP1A1,CYP1A1,CYP1A1,CYP1A1,CYP1A1,,-0.132155513,0.134826197,0.182952547,0.532978246,-0.351068641
CYP1B1,CYP1B1,CYP1B1,CYP1B1,CYP1B1,,-0.051970034,0.052632168,0.336634169,0.786607505,-0.166706011
CYP1B1-AS1,CYP1B1-AS1,CYP1B1-AS1,CYP1B1-AS1,CYP1B1-AS1,,-0.318022059,0.171352073,-0.4085528,0.243471629,0.898450959
CYP20A1,CYP20A1,CYP20A1,CYP20A1,CYP20A1,,-0.016019288,0.07920232,0.0432284,0.149649607,0.007898197
CYP26A1,CYP26A1,CYP26A1,CYP26A1,CYP26A1,,4.101235907,0.801402463,-0.1675447,5.532978246,4.109203465
CYP27A1,CYP27A1,CYP27A1,CYP27A1,CYP27A1,,0.666210625,-0.371662246,-0.106144155,0.78090576,0.308972977
CYP27B1,CYP27B1,CYP27B1,CYP27B1,CYP27B1,,-0.432601925,0.027839715,0.095952925,-0.610558754,-0.51242425
CYP2D7,CYP2D7,CYP2D7,CYP2D7,CYP2D7,,-0.077013959,0.305444969,-0.257742509,0.313491556,0.211041189
CYP2E1,CYP2E1,CYP2E1,CYP2E1,CYP2E1,,0.170913554,0.283077156,0.005291897,-0.016076601,0.104125985
CYP2R1,CYP2R1,CYP2R1,CYP2R1,CYP2R1,,-0.357474295,-0.226044542,0.059226162,-0.791293789,-0.682395433
CYP3A5,CYP3A5,CYP3A5,CYP3A5,CYP3A5,,0.382417659,-0.096027803,0.538724097,-0.376823945,0.035954483
CYP4F3,CYP4F3,CYP4F3,CYP4F3,CYP4F3,,5.997127503,0.569672177,-0.662309392,7.411725878,6.631127182
CYP4V2,CYP4V2,CYP4V2,CYP4V2,CYP4V2,,0.688183091,0.037397616,0.37206667,0.481388112,0.273312754
CYP51A1,CYP51A1,CYP51A1,CYP51A1,CYP51A1,,0.382417659,0.234361871,0.417417801,-0.007590135,0.035954483
CYSLTR1,CYSLTR1,CYSLTR1,CYSLTR1,CYSLTR1,,0.257755086,-0.104652376,-0.016210561,0.415402563,0.247614994
CYSRT1,CYSRT1,CYSRT1,CYSRT1,CYSRT1,,0.588868537,0.948959652,1.341468947,0.230415476,0.411463618
CYSTM1,CYSTM1,CYSTM1,CYSTM1,CYSTM1,,-0.345883074,-0.010478838,-0.242460407,-0.092600084,-0.001134836
CYTH1,CYTH1,CYTH1,CYTH1,CYTH1,,0.540175028,0.094209792,0.022434383,0.747264071,0.765428974
CYTH2,CYTH2,CYTH2,CYTH2,CYTH2,,0.110372469,0.121557206,-0.008790055,0.404032876,0.290035502
CYTH3,CYTH3,CYTH3,CYTH3,CYTH3,,-0.192933247,-0.225069748,-0.15028967,-0.165437973,0.097513836
CYTH4,CYTH4,CYTH4,CYTH4,CYTH4,,2.34733915,0.139463915,0.068716387,2.98923649,2.514672177
CYTIP,CYTIP,CYTIP,CYTIP,CYTIP,,-0.942804261,-0.279454263,-0.192433673,-0.832703412,-0.994490388
D2HGDH,D2HGDH,D2HGDH,D2HGDH,D2HGDH,,-0.139728733,0.252248089,0.159911932,-0.156778726,-0.11181881
DAAM1,DAAM1,DAAM1,DAAM1,DAAM1,,0.349553025,-0.061094013,0.176737877,-0.060755764,0.063837597
DAB2IP,DAB2IP,DAB2IP,DAB2IP,DAB2IP,,-1.348261672,-0.095286819,0.059340702,-2.738695078,-2.007766895
DACH1,DACH1,DACH1,DACH1,DACH1,,0.916663143,0.090393102,0.107805028,0.820598291,0.787364643
DACT3,DACT3,DACT3,DACT3,DACT3,,-1.505107611,-0.560053996,-0.676558348,0.324391625,0.19349576
DAD1,DAD1,DAD1,DAD1,DAD1,,-0.147855927,0.00090729,-0.129189979,0.01481879,-0.085860876
DAG1,DAG1,DAG1,DAG1,DAG1,,-0.089706057,-0.060782517,0.1727706,-0.23787829,-0.182833452
DAGLB,DAGLB,DAGLB,DAGLB,DAGLB,,-0.151300563,0.075803124,0.049481501,-0.099628944,-0.157358603
DALRD3,DALRD3,DALRD3,DALRD3,DALRD3,,-0.031756726,-0.085553094,0.023804738,-0.063085247,-0.036137141
DANCR,DANCR,DANCR,DANCR,DANCR,,-0.304336489,-0.000683769,-0.144152852,-0.41804391,-0.310926913
DAP,DAP,DAP,DAP,DAP,,0.299435874,-0.016918886,0.023066936,0.386702547,0.288426107
DAP3,DAP3,DAP3,DAP3,DAP3,,-0.190449516,0.100422814,-0.055358659,-0.167379101,-0.157503409
DAPK1,DAPK1,DAPK1,DAPK1,DAPK1,,0.96738016,1.064436869,-0.489472795,2.205403588,2.245407848
DAPK3,DAPK3,DAPK3,DAPK3,DAPK3,,0.022129795,0.060670039,-0.069389056,0.121450956,0.1327932
DAPP1,DAPP1,DAPP1,DAPP1,DAPP1,,1.089508458,-0.10867782,0.058484464,1.637517617,1.257724113
DARS,DARS,DARS,DARS,DARS,,-0.006945266,-0.140239475,0.040597947,-0.008316933,-0.087761003
DARS2,DARS2,DARS2,DARS2,DARS2,,-0.190576819,-0.078835538,0.09493063,-0.494186639,-0.293448733
DARS-AS1,DARS-AS1,DARS-AS1,DARS-AS1,DARS-AS1,,0.325834131,-0.636002849,-0.344422462,1.179341292,0.721845892
DAXX,DAXX,DAXX,DAXX,DAXX,,-0.059750286,0.084122886,0.044833851,-0.110304513,-0.110780135
DAZAP1,DAZAP1,DAZAP1,DAZAP1,DAZAP1,,-0.083589293,0.079366467,-0.025916122,-0.163095748,-0.006306109
DAZAP2,DAZAP2,DAZAP2,DAZAP2,DAZAP2,,0.257821414,0.028518266,-0.031565196,0.477340851,0.233389542
DBF4,DBF4,DBF4,DBF4,DBF4,,-0.05418519,-0.020332285,0.037192763,-0.242426744,-0.213599086
DBF4B,DBF4B,DBF4B,DBF4B,DBF4B,,0.068925329,0.07177511,0.042922373,-0.021471524,0.007054662
DBH,DBH,DBH,DBH,DBH,,-0.701646605,-0.493558584,-0.988574559,0.765639003,0.338517253
DBI,DBI,DBI,DBI,DBI,,0.244870693,0.010891051,-0.139154436,0.599467902,0.451630767
DBIL5P,DBIL5P,DBIL5P,DBIL5P,DBIL5P,,0.460420171,0.894511868,0.121961917,0.943911347,0.705805881
DBN1,DBN1,DBN1,DBN1,DBN1,,0.001162502,0.137372933,0.060456855,0.096583534,0.060793853
DBNDD1,DBNDD1,DBNDD1,DBNDD1,DBNDD1,,-1.510667137,-0.081413997,-0.113096916,-1.549483914,-1.71893302
DBNL,DBNL,DBNL,DBNL,DBNL,,0.904610683,0.202677935,0.063333607,1.11117863,0.975946522
DBP,DBP,DBP,DBP,DBP,,-0.626706134,-0.07073794,-0.27244991,-0.395759388,-0.276832958
DBR1,DBR1,DBR1,DBR1,DBR1,,0.189690501,-0.109371567,0.065397192,0.09229216,0.052481493
DBT,DBT,DBT,DBT,DBT,,0.094902615,-0.068231901,0.200859548,-0.18672314,-0.21591514
DCAF10,DCAF10,DCAF10,DCAF10,DCAF10,,0.251999692,0.021989823,0.128261906,0.194927777,0.178475675
DCAF11,DCAF11,DCAF11,DCAF11,DCAF11,,0.045052498,0.07615029,0.090034451,0.153783264,-0.044053469
DCAF12,DCAF12,DCAF12,DCAF12,DCAF12,,0.327021415,0.019675026,0.104333484,0.226368806,0.216854248
DCAF13,DCAF13,DCAF13,DCAF13,DCAF13,,-0.396067204,-0.056902207,0.013576979,-0.430181029,-0.36720377
DCAF13P3,DCAF13P3,DCAF13P3,DCAF13P3,DCAF13P3,,-0.120082681,-0.21567105,-0.007080028,-0.129986766,-0.042048029
DCAF15,DCAF15,DCAF15,DCAF15,DCAF15,,-0.050416899,0.10748723,-0.061945529,0.117940747,0.102844489
DCAF16,DCAF16,DCAF16,DCAF16,DCAF16,,-0.16201248,-0.012561152,0.103033655,-0.452374978,-0.411801927
DCAF17,DCAF17,DCAF17,DCAF17,DCAF17,,-0.14087886,-0.138967822,0.160881396,-0.52130692,-0.385297886
DCAF4,DCAF4,DCAF4,DCAF4,DCAF4,,-0.682897935,0.047394385,0.148375966,-1.020400579,-0.75759464
DCAF4L1,DCAF4L1,DCAF4L1,DCAF4L1,DCAF4L1,,-0.129481379,-0.191122416,0.20229338,-0.474289754,-0.513207297
DCAF5,DCAF5,DCAF5,DCAF5,DCAF5,,0.351527543,0.149094609,0.117788373,0.48231266,0.300094826
DCAF6,DCAF6,DCAF6,DCAF6,DCAF6,,0.084203803,0.077844912,-0.013522439,0.092701082,0.089819242
DCAF7,DCAF7,DCAF7,DCAF7,DCAF7,,0.317558278,0.080294736,0.164079191,0.239194228,0.199959044
DCAF8,DCAF8,DCAF8,DCAF8,DCAF8,,0.034494356,0.112640732,0.109118661,0.02291414,-0.084839645
DCAKD,DCAKD,DCAKD,DCAKD,DCAKD,,-0.165193999,0.133598894,0.046080317,0.103988075,-0.081143611
DCBLD2,DCBLD2,DCBLD2,DCBLD2,DCBLD2,,-0.424937263,0.05294123,0.015046713,-0.234575668,-0.632063758
DCDC2B,DCDC2B,DCDC2B,DCDC2B,DCDC2B,,2.166688968,1.418073824,0.910457812,1.677368156,0.180344392
DCHS1,DCHS1,DCHS1,DCHS1,DCHS1,,2.318287322,-0.289200085,-0.990666938,2.757351032,2.993726247
DCK,DCK,DCK,DCK,DCK,,0.043650543,-0.155748752,-0.029116489,0.016884094,-0.030924284
DCLRE1A,DCLRE1A,DCLRE1A,DCLRE1A,DCLRE1A,,0.3469968,-0.084168465,0.063479978,0.125374599,0.172489755
DCLRE1B,DCLRE1B,DCLRE1B,DCLRE1B,DCLRE1B,,-0.248765128,0.011230152,0.055518352,-0.472816223,-0.272958232
DCLRE1C,DCLRE1C,DCLRE1C,DCLRE1C,DCLRE1C,,0.278405628,-0.111106917,0.066271077,0.175990861,-0.02557702
DCP1A,DCP1A,DCP1A,DCP1A,DCP1A,,-0.146710203,-0.054963383,0.046428117,-0.450648784,-0.184644657
DCP1B,DCP1B,DCP1B,DCP1B,DCP1B,,0.054034542,0.272775754,0.246204103,0.040475332,-0.051750117
DCP2,DCP2,DCP2,DCP2,DCP2,,0.319681904,-0.121990182,0.115411394,0.289561433,0.135047476
DCPS,DCPS,DCPS,DCPS,DCPS,,-0.07978957,0.22839996,0.007301574,0.178324474,-0.042010383
DCST1,DCST1,DCST1,DCST1,DCST1,,0.867844487,0.549863696,0.8324553,0.255444271,-0.116048611
DCTD,DCTD,DCTD,DCTD,DCTD,,-0.0669611,-0.013217824,0.050501202,-0.265804044,-0.132625349
DCTN1,DCTN1,DCTN1,DCTN1,DCTN1,,-0.10410379,0.033773942,0.075960823,-0.224899148,-0.134338171
DCTN2,DCTN2,DCTN2,DCTN2,DCTN2,,-0.023741689,-0.073561491,-0.087902629,0.109724253,0.120729675
DCTN3,DCTN3,DCTN3,DCTN3,DCTN3,,0.085861354,0.055473682,-0.148680838,0.432057326,0.341176489
DCTN4,DCTN4,DCTN4,DCTN4,DCTN4,,0.221911999,-0.098017063,0.079080336,0.175506534,0.141526668
DCTN5,DCTN5,DCTN5,DCTN5,DCTN5,,0.296034758,-0.066451433,0.122454365,0.089599471,0.153426826
DCTN6,DCTN6,DCTN6,DCTN6,DCTN6,,-0.043868104,-0.043719986,-0.203622465,0.131661203,0.105917041
DCTPP1,DCTPP1,DCTPP1,DCTPP1,DCTPP1,,-0.392893363,-0.060899693,-0.154998473,-0.318558634,-0.212454102
DCUN1D1,DCUN1D1,DCUN1D1,DCUN1D1,DCUN1D1,,0.127339775,0.006216314,0.077536237,0.122195233,0.035102078
DCUN1D2,DCUN1D2,DCUN1D2,DCUN1D2,DCUN1D2,,-0.282699164,-0.051133839,-0.022513878,-0.47771409,-0.375705129
DCUN1D3,DCUN1D3,DCUN1D3,DCUN1D3,DCUN1D3,,0.835605568,0.099160448,-0.100590262,0.931035843,0.882086237
DCUN1D4,DCUN1D4,DCUN1D4,DCUN1D4,DCUN1D4,,-0.246909912,-0.007998967,0.173590064,-0.568078289,-0.420605857
DCUN1D5,DCUN1D5,DCUN1D5,DCUN1D5,DCUN1D5,,-0.430395251,-0.184599391,-0.102604381,-0.581027144,-0.342111844
DCX,DCX,DCX,DCX,DCX,,-0.518046667,0.64939937,-0.1675447,-0.229982556,-0.523472926
DCXR,DCXR,DCXR,DCXR,DCXR,,-0.267103766,0.004153778,-0.133849854,0.00678291,-0.056634053
DDA1,DDA1,DDA1,DDA1,DDA1,,0.116889667,0.164076349,0.017097855,0.268093045,0.194416727
DDAH1,DDAH1,DDAH1,DDAH1,DDAH1,,0.382417659,0.064436869,-1.1675447,0.380975153,0.298988888
DDAH2,DDAH2,DDAH2,DDAH2,DDAH2,,0.027296832,0.125420229,0.04512183,0.202747367,0.227999513
DDB1,DDB1,DDB1,DDB1,DDB1,,-0.136266735,-0.035049932,0.071756206,-0.423088791,-0.215772912
DDB2,DDB2,DDB2,DDB2,DDB2,,0.100165338,0.011666394,-0.012544788,0.064293506,0.007507795
DDC,DDC,DDC,DDC,DDC,,-0.065041318,-0.198597537,0.44912666,-2.083693114,-1.400144632
DDHD1,DDHD1,DDHD1,DDHD1,DDHD1,,-0.196778996,-0.008347934,0.166874339,-0.437220976,-0.265016354
DDHD2,DDHD2,DDHD2,DDHD2,DDHD2,,0.014442197,-0.127129558,0.052687998,0.053294543,-0.011837616
DDI2,DDI2,DDI2,DDI2,DDI2,,-0.024491959,-0.112228279,0.25541804,-0.943539099,-0.077851806
DDIAS,DDIAS,DDIAS,DDIAS,DDIAS,,0.04756339,-0.082174744,-0.022133847,-0.111362801,-0.079738207
DDIT3,DDIT3,DDIT3,DDIT3,DDIT3,,-0.293825348,0.041377853,-0.087456789,0.0023433,-0.00205184
DDIT4,DDIT4,DDIT4,DDIT4,DDIT4,,0.52820952,-0.153768348,0.154604293,-0.082015396,0.623663107
DDN,DDN,DDN,DDN,DDN,,-1.227563301,-0.270641332,-0.120550165,-2.074386801,-1.259541819
DDOST,DDOST,DDOST,DDOST,DDOST,,0.01412333,-0.007827065,-0.08268972,0.245277686,0.069011639
