Row,1,2,3,4,5,6,7,8,9,10,11,12
A,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS
B,MTS,DIM_500uM,DIM_250uM,DIM_125uM,DIM_62.5uM,DIM_31.25uM,DIM_15.63uM,DIM_7.81uM,DIM_3.91uM,DIM_1.95uM,DMSO_01%,MTS
C,MTS,SFN_100uM,SFN_50uM,SFN_25uM,SFN_12.5uM,SFN_6.25uM,SFN_3.13uM,SFN_1.56uM,SFN_0.78uM,SFN_0.39uM,DMSO_01%,MTS
D,MTS,DIM_500uM,DIM_250uM,DIM_125uM,DIM_62.5uM,DIM_31.25uM,DIM_15.63uM,DIM_7.81uM,DIM_3.91uM,DIM_1.95uM,DMSO_01%,MTS
E,MTS,SFN_100uM,SFN_50uM,SFN_25uM,SFN_12.5uM,SFN_6.25uM,SFN_3.13uM,SFN_1.56uM,SFN_0.78uM,SFN_0.39uM,DMSO_01%,MTS
F,MTS,DIM_500uM,DIM_250uM,DIM_125uM,DIM_62.5uM,DIM_31.25uM,DIM_15.63uM,DIM_7.81uM,DIM_3.91uM,DIM_1.95uM,DMSO_01%,MTS
G,MTS,SFN_100uM,SFN_50uM,SFN_25uM,SFN_12.5uM,SFN_6.25uM,SFN_3.13uM,SFN_1.56uM,SFN_0.78uM,SFN_0.39uM,DMSO_01%,MTS
H,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS,MTS
