"","Treatment","Estimate","Std..Error","lb","ub"
"bot","X24_Genistein",80.1501367921609,10.7347807483981,57.9435509008073,102.356722683515
"top","X24_Genistein",105.400963091931,13.2584362705549,77.9737979985912,132.82812818527
"lic50","X24_Genistein",3.94513922942125,0.497394606240049,2.91620009184139,4.97407836700112
"scale","X24_Genistein",-2.94504479640948,8.08730786962604,-19.6749157687132,13.7848261758943
"Log10IC60","X24_Genistein",3.88534684213045,0.523794948985681,2.80179443461216,4.96889924964874
"Log10IC70","X24_Genistein",3.82019145757642,0.604259692487338,2.57018504604301,5.07019786910982
"IC60","X24_Genistein",7679.74574751249,NA,633.569751562841,93089.1896290071
"IC70","X24_Genistein",6609.84777181975,NA,371.693568140877,117543.297251976
