"","Treatment","Estimate","Std..Error","lb","ub"
"1","X24_Genistein",80.1501368258181,10.7347810045396,57.9435504045955,102.356723247041
"2","X24_Genistein",105.400963016241,13.2584365468435,77.9737973513554,132.828128681127
"3","X24_Genistein",3.51917049475717,0.497394601552176,2.49023136687491,4.54810962263943
"4","X24_Genistein",-2.94504485359895,8.08730773277196,-19.6749155427985,13.7848258356006
"5","X24_Genistein",3.45937810862747,0.523794941664124,2.37582571625497,4.54293050099996
"6","X24_Genistein",3.39422272533868,0.604259677764796,2.14421634426117,4.64422910641619
"7","X24_Genistein",2879.90464715612,NA,237.588664448569,34908.4447945403
"8","X24_Genistein",2478.69291462955,NA,139.385097838615,44078.7333818742
"9","X72_Genistein",59.6231655587168,2.48920833699736,54.4738457884687,64.7724853289649
"10","X72_Genistein",93.5740551683836,1.61549838540525,90.2321421387953,96.9159681979718
"11","X72_Genistein",4.03257605743451,0.0553045850171093,3.9181698067478,4.14698230812122
"12","X72_Genistein",-3.55685949452934,1.55167033692938,-6.76673414587978,-0.346984843178894
"13","X72_Genistein",3.98306854685488,0.05937213059562,3.86024793705145,4.1058891566583
"14","X72_Genistein",3.92912052711048,0.0713828563622495,3.78145383804326,4.0767872161777
"15","X72_Genistein",9617.64066403547,NA,7248.49655859238,12761.1306972147
"16","X72_Genistein",8494.16175642004,NA,6045.80086003574,11934.0324986824
