"","Treatment","Estimate","Std..Error","lb","ub"
"bot","X72_Daidzein",90.0321230231711,4.22721972322773,81.2874527718026,98.7767932745397
"top","X72_Daidzein",121.339992441827,26.8116286728892,65.8759127399251,176.804072143729
"lic50","X72_Daidzein",4.82277916886343,0.75271571658931,3.26566807325893,6.37989026446794
"scale","X72_Daidzein",1.11120564537959,1.25804402668419,-1.49125670466289,3.71366799542207
"Log10IC60","X72_Daidzein",4.98124781936739,0.773801407708894,3.38051764835741,6.58197799037737
"Log10IC70","X72_Daidzein",5.15393010102855,0.840915388119898,3.41436408367584,6.89349611838127
"IC60","X72_Daidzein",95774.0426202242,NA,2401.69386316323,3819249.14765755
"IC70","X72_Daidzein",142537.816290498,NA,2596.35506181188,7825212.11050591
