Sample Name,Target Name,Ct Mean,Ct SD
d20-5d,nrf2,19.129,0.019
d10-5d,nrf2,19.052,0.067
g20-5d,nrf2,19.049,0.020
g10-5d,nrf2,18.997,0.020
tsa-5d,nrf2,20.094,0.033
5aza-5d,nrf2,19.826,0.659
dmso-5d,nrf2,19.089,0.000
h2o,nrf2,29.469,5.162
d20-5d,Nqo1,23.542,0.025
d10-5d,Nqo1,23.314,0.000
g20-5d,Nqo1,23.496,0.046
g10-5d,Nqo1,23.599,0.008
tsa-5d,Nqo1,23.605,0.021
5aza-5d,Nqo1,24.286,0.005
dmso-5d,Nqo1,23.297,0.033
h2o,Nqo1,26.714,13.331
d20-5d,ho-1,18.199,0.000
d10-5d,ho-1,18.220,0.013
g20-5d,ho-1,18.353,0.045
g10-5d,ho-1,18.981,0.137
tsa-5d,ho-1,19.305,0.024
5aza-5d,ho-1,20.623,0.063
dmso-5d,ho-1,18.221,0.021
h2o,ho-1,30.029,0.345
d20-5d,beta-actin,12.993,0.045
d10-5d,beta-actin,12.991,0.008
g20-5d,beta-actin,13.014,0.016
g10-5d,beta-actin,12.957,0.007
tsa-5d,beta-actin,14.117,0.043
5aza-5d,beta-actin,14.424,0.015
dmso-5d,beta-actin,13.021,0.021
h2o,beta-actin,26.227,0.189
