Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1303007863,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,
,,,,,,,,,,,,
Date:,7/14/2016,,,,,,,,,,,
Time:,1:33:48 AM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,SOP-0669,,,,,,,,
User,,,,SOP-0669\konglab,,,,,,,,
Plate,,,,greiner bio-one 96 Flat Bottom Transparent Polystyrol  [MAG_GRE96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Orbital) Duration:,,,,20,s,,,,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: MTS,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,490,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,7/14/2016 1:34:08 AM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 23.3 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.417800009,0.407299995,0.408199996,0.397399992,0.403800011,0.390399992,0.391400009,0.398600012,0.388300002,0.389800012,0.395300001,0.394899994
B,0.411300004,1.554399967,1.801699996,1.804499984,1.900300026,1.921499968,1.856699944,1.906499982,1.775900006,1.803200006,1.93780005,0.388399988
C,0.418199986,0.579400003,0.664600015,0.993399978,1.853099942,1.91989994,2.010499954,1.813500047,1.860700011,1.897099972,2.012399912,0.385399997
D,0.431199998,1.585100055,1.916499972,1.887400031,1.963400006,1.919499993,1.953799963,1.899600029,1.929100037,1.856999993,1.955299973,0.386299998
E,0.416200012,0.525300026,0.684800029,0.953100026,1.83099997,1.897400022,1.882200003,1.933899999,1.854400039,1.900300026,1.975600004,0.392699987
F,0.419099987,1.497900009,1.83070004,1.998900056,2.040199995,1.976899981,1.946799994,1.921300054,1.934399962,1.880399942,1.949100018,0.385399997
G,0.413599998,0.553799987,0.675199986,1.037299991,1.893599987,1.904199958,1.889400005,1.838199973,1.840199947,1.914399981,1.932299972,0.387600005
H,0.401499987,0.407799989,0.402999997,0.394400001,0.3935,0.39379999,0.392399997,0.389499992,0.365200013,0.391600013,0.393299997,0.388200015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,7/14/2016 1:35:25 AM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Movement,,,,Move Plate Out,,,,,,,,
