Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1303007863,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,
,,,,,,,,,,,,
Date:,7/19/2016,,,,,,,,,,,
Time:,12:15:24 AM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,SOP-0669,,,,,,,,
User,,,,SOP-0669\konglab,,,,,,,,
Plate,,,,greiner bio-one 96 Flat Bottom Transparent Polystyrol  [MAG_GRE96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Orbital) Duration:,,,,20,s,,,,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: MTS,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,490,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,7/19/2016 12:15:44 AM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 23.4 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.461899996,0.462900013,0.459399998,0.457500011,0.451200008,0.4472,0.4472,0.433699995,0.444999993,0.445300013,0.448300004,0.44749999
B,0.460000008,0.734000027,2.858700037,3.026400089,3.311800003,3.005399942,3.175299883,2.664499998,3.0006001,2.867799997,3.190700054,0.457199991
C,0.449900001,0.572600007,0.5176,0.516499996,3.144099951,3.15260005,2.540899992,2.534199953,2.526200056,2.381700039,3.09559989,0.464100003
D,0.461199999,0.670099974,2.870599985,2.375699997,2.51789999,2.306600094,2.836400032,2.510099888,2.971299887,2.539599895,3.259599924,0.453500003
E,0.457100004,0.586000025,0.527700007,0.518599987,2.813499928,2.915400028,2.669399977,2.586699963,2.749799967,2.58769989,3.343400002,0.455500007
F,0.453799993,0.657700002,2.942300081,2.696500063,2.539599895,2.861799955,2.471999884,3.147399902,3.016700029,2.843199968,2.723400116,0.443899989
G,0.471500009,0.573499978,0.526199996,0.60589999,3.139899969,2.884200096,2.930700064,2.474400043,2.893599987,2.728899956,3.253499985,0.445300013
H,0.461600006,0.453599989,0.462700009,0.458299994,0.446700007,0.441700011,0.408199996,0.417899996,0.439599991,0.434399992,0.430000007,0.432099998
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,7/19/2016 12:17:01 AM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Movement,,,,Move Plate Out,,,,,,,,
