Row,1,2,3,4,5,6,7,8,9,10,11,12
A,BCA_Only,Albumine_2000ug/mL,Albumine_2000ug/mL,Albumine_2000ug/mL,BCA_Only,BCA_Only,BCA_Only,BCA_Only,BCA_Only,BCA_Only,,
B,BCA_Only,Albumine_1000ug/mL,Albumine_1000ug/mL,Albumine_1000ug/mL,SFN_10uM,SFN_10uM,SFN_10uM,DMSO_0.1%,No_Treatment,BCA_Only,,
C,BCA_Only,Albumine_500ug/mL,Albumine_500ug/mL,Albumine_500ug/mL,SFN_5uM,SFN_5uM,SFN_5uM,DMSO_0.1%,No_Treatment,BCA_Only,,
D,BCA_Only,Albumine_250ug/mL,Albumine_250ug/mL,Albumine_250ug/mL,SFN_2.5uM,SFN_2.5uM,SFN_2.5uM,DMSO_0.1%,No_Treatment,BCA_Only,,
E,BCA_Only,Albumine_125ug/mL,Albumine_125ug/mL,Albumine_125ug/mL,Echinatin_40uM,Echinatin_40uM,Echinatin_40uM,TSA_100uM_5AZA_500uM,H2O,BCA_Only,,
F,BCA_Only,Albumine_62.5ug/mL,Albumine_62.5ug/mL,Albumine_62.5ug/mL,Echinatin_20uM,Echinatin_20uM,Echinatin_20uM,TSA_100uM_5AZA_500uM,H2O,BCA_Only,,
G,BCA_Only,Albumine_31.25ug/mL,Albumine_31.25ug/mL,Albumine_31.25ug/mL,Echinatin_10uM,Echinatin_10uM,Echinatin_10uM,TSA_100uM_5AZA_500uM,H2O,BCA_Only,,
H,BCA_Only,Albumine_0ug/mL,Albumine_0ug/mL,Albumine_0ug/mL,BCA_Only,BCA_Only,BCA_Only,BCA_Only,BCA_Only,BCA_Only,,
