Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1303007863,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,
,,,,,,,,,,,,
Date:,4/30/2016,,,,,,,,,,,
Time:,9:09:55 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,SOP-0669,,,,,,,,
User,,,,SOP-0669\konglab,,,,,,,,
Plate,,,,Costar 96 Flat Bottom Transparent Polystyrol Catalog No.: 3361/3590/9018/3591/9017/3641/3628/3370/2507/2509/2503/9017/9018/3641/3598/3599/3585/3595/3300/3474 [COS96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Orbital) Duration:,,,,20,s,,,,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: MTS,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,490,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,4/30/2016 9:10:15 PM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 22 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.282700002,0.270099998,0.271299988,0.273200005,0.265700012,0.25819999,0.279900014,0.299699992,0.267699987,0.253600001,0.261700004,0.262400001
B,0.2755,0.506500006,0.512300014,0.627099991,1.016000032,0.967999995,1.338799953,1.319399953,1.680299997,1.646399975,1.432600021,0.291200012
C,0.282900006,0.648199975,1.341599941,1.39289999,1.539000034,1.654500008,1.623200059,1.602699995,1.900900006,1.583999991,1.407099962,0.265399992
D,0.277999997,1.632400036,1.492900014,1.700600028,1.895499945,1.7421,1.504999995,1.615200043,1.526800036,1.568500042,1.538499951,0.270700008
E,0.331699997,0.565400004,0.698800027,0.718200028,1.110499978,1.373299956,1.670099974,1.379199982,1.567600012,1.410300016,1.423200011,0.271499991
F,0.31099999,0.665899992,1.354799986,1.450000048,1.569300056,1.511199951,1.572999954,1.555299997,1.527400017,1.363800049,1.33829999,0.279500008
G,0.297899991,1.886100054,1.63409996,1.787099957,1.551599979,1.619699955,1.611199975,1.449200034,1.42900002,1.491400003,1.328299999,0.280299991
H,0.29429999,0.296499997,0.279199988,0.288300008,0.277399987,0.270999998,0.26820001,0.262400001,0.280000001,0.253500015,0.257499993,0.259000003
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,4/30/2016 9:11:31 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Movement,,,,Move Plate Out,,,,,,,,
